1,1,1,1213,3212,10
2,1,2,123,123,10
3,1,3,234,1242,10
4,1,4,1213,110,10
5,1,5,123,123,3
6,1,6,234,1242,3
7,1,7,1213,1100,3
8,1,8,123,123,3
9,1,9,234,122,3
10,1,10,1213,3212,3
11,1,11,123,123,3
12,1,12,234,1242,3
13,1,12,1213,3212,3
14,1,13,123,123,3
15,1,14,234,1242,3
16,1,15,1213,321,3
17,1,16,123,123,3
18,1,16,234,1242,3
19,1,17,1213,3212,3
20,1,17,123,242,3
21,1,18,234,4321,3
22,1,18,1213,3212,3
23,1,19,123,123,3
24,1,20,234,1242,3
1,2,21,1213,3212,10
2,2,22,123,123,10
3,2,23,234,1242,10
4,2,24,1213,110,10
5,2,25,123,123,3
6,2,26,234,1242,3
7,2,27,1213,1100,3
8,2,28,123,123,3
9,2,29,234,122,3
10,2,30,1213,3212,3
11,2,31,123,123,3
12,2,32,234,1242,3
14,2,33,123,123,3
15,2,34,234,1242,3
16,2,35,1213,321,3
17,2,36,123,123,3
18,2,36,234,1242,3
19,2,37,1213,3212,3
20,2,37,123,242,3
21,2,38,234,4321,6
22,2,38,1213,3212,3
24,2,39,234,1242,3
1,3,41,1,1,15
2,3,42,1,1,15
3,3,43,1,1,10
26,3,44,1,1,4
27,3,45,1,1,4
8,3,46,1,1,2
25,3,47,1,1,2
13,3,48,1,1,3
14,3,49,1,1,3
15,3,50,1,1,3
16,3,50,1,1,3
17,3,51,1,1,3
18,3,51,1,1,3
19,3,53,1,1,3
20,3,54,1,1,3
21,3,55,1,1,3
22,3,57,1,1,3
